word,ipa,swahili_gloss,swahili_pos,english_gloss,english_pos,line_no
ebisamunye,eβisamu ɲ e,,,,,1366
ebisamusero,eβisamuse ɾ o,,,,,1367
ebisara,eβisa: ɾ a,1. vidondo,nmn,kindlings,n,1368
ebisara,eβisa ɾ a,1.ncha 2. mchonge. 3. kilele,nmn,apex,n,1369
ebisarara,eβisa ɾ a ɾ a,,,,,1370
ebisase,eβisase,,,,,1371
ebisasimero,eβisasime ɾ o,,,,,1372
ebisembe,eβisembe,,,,,1373
ebisena,eβisena,,,,,1374
ebisengere,eβiseŋe ɾ e,,,,,1375
ebisegenyi,eβis ɛɣɛɲ i,,,,,1376
ebisero,eβis ɛɾɔ,,,,,1377
ebisibi,eβisi: ꞵi,,,,,1378
ebisi,eβisi,zamu,nmn,duty: lot : turns,n,1379
ebisiekero,eβisieke ɾ o,,,,,1380
"gate’,",,,,,,1380
ebisieri,eβisie ɾ i,milango,nmn,doors,n,1381
ebisima,eβisima,visima,nmn,wells,n,1382
ebisimba,eβisimba,,,,,1383
ebisiriri,eβisi ɾ i ɾ i,,,,,1385
ebisisa,eβisisa,1.upele,nmn,scabies,n,1386
ebisoero,eβis ɔɛɾɔ,,,,,1387
ebisogora,eβiso ɣ o ɾ a,,,,,1388
ebisokera,eβisike ɾ a,,,,,1389
ebisokero,eβis ɔ :k ɛɾɔ,,,,,1390
ebisona,eβisona,,,,,1391
ebisono,eβis ɔ n ɔ,,,,,1392
ebisonsogoro,eβisonso ɣ o ɾ o,,,,,1393
ebisora,eβis ɔɾ a,,,,,1394
ebisukari,eβisuka ɾ i,,,,,1395
ebisumwa,eβisumwa,,,,,1396
ebisunkeri,eβisunke ɾ i,adhifari,nmn,foul body smell,n,1397
ebitabane,eβita ꞵ an ɛ,"tarakimu, sehemu za nambari",nmn,fractions,n,1398
ebitabaranye,eβita ꞵ a ɾ a ɲɛ,,,,,1399
ebitabo,eβita ꞵ o,,,,,1400
ebitaboramato,eβita ꞵ o ɾ amato,,,,,1401
ebitago,eβita ɣɔ,,,,,1402
ebitamase,eβitamase,,,,,1403
ebitamero,eβitame ɾ o,,,,,1404
vizingizio,,,,,,1404
ebitanko,eβitank ɔ,,,,,1405
ebitangisi,eβitaŋisi,ufupisho,nmn,abbreviations,n,1406
ebitaratara,eβita ɾ a ɾ a,makubazi,nmn,slippers,n,1407
ebitare,eβita ɾɛ,,,,,1408
ebitarenge,eβita: ɾɛ ŋɛ,,,,,1409
ebite,eβite,vijiti,nmn,sticks,n,1410
ebitega,eβit ɛɣ a,,,,,1411
ebitege,eβit ɛɣɛ,1. ekr. matege,kv,bow-legged,adj,1412
ebitena,eβite:na,1 . maneno matupu (bila vitendo),nmn,lipservice:empty talk,n,1413
ebiteng’e,eβit ɛŋgɛ,dhaifu,nmn,kv weak,n,1414
ebitengeri,eβitiŋe ɾ i,,,,,1415
ebiteni,eβiteni,vidondo,nmn,scraps of firewood,n,1416
ebitete,eβit ɛ :t ɛ,,,,,1417
ebitigari,eβiti ɣ a ɾ i,"mabaki, masalio,makombo(chakula), vilivyobaki",kv,"remains, leftovers, remnants",adj,1419
ebiting’u,eβitiŋgu,,,,,1420
ebitiro,eβiti ɾ o,,,,,1421
ebitoche,eβit ɔʧɛ,,,,,1422
ebitongua,eβitoŋwa,,,,,1423
ebitono,eβitono,,,,,1424
ebitono,eβit ɔ :n ɔ,,,,,1425
ebitororia,eβit ɔɾɔɾ ia,machachari. futuhi,nmn,comedy,n,1426
ebitotia,eβit ɔ tia,matongo,nmn,"tears,discharge from eyes",n,1427
ebitosi,eβit ɔ si,,,,,1428
ebitu,eβitu,,,,,1429
ebitugi,eβitu ɣ i,,,,,1430
ebituma,eβituma,,,,,1431
ebiture,eβitu ɾ e,,,,,1432
ebitureraigoro,eβitu ɾ e ɾ ai ɣ o ɾ o,,,,,1433
e bituarero,eβitwa ɾ e ɾ o,1. milki,nmn,possession,n,1434
ebituatua,eβitwatwa,aya,nmn,paragraphs,n,1435
ebiya,eβija,vizuri,nmn,good,n,1437
ebiyia,eβijia,,,,,1438
ebosi,eβosi,"nyweleo, kitundu kidogo",nmn,pore,n,1439
eboya,eβoja,kipara,nmn,baldness,n,1440
ebuga,eβu ɣ a,,,,,1441
buruma,,,,,,1441
ebundo,eβundo,tope,nmn,clay,n,1442
e bunge,eβuŋ ɛ,bunge,nmn,parliament,n,1443
etureti ya kebaki,eβu ɾ etijake ꞵ aki,Septemba,nmn,September,n,1444
eburi,eβu ɾ i,,,,,1445
egekengero,,,,,,1445
eburuburu,eβu ɾ u ꞵ u ɾ u,,,,,1446
ghasia,,,,,,1446
conflict,,,,,,1446
ebuta,eβuta,mkesho,nmn,vigil,n,1447
ebutore,eβuto ɾ e,jikate,kt,cut yourself,v,1448
ebutorane,,,,,,1448
ebuagi,eβwa ɣ i,Juni,nmn,June,n,1449
echae,e ʧ ae,mchai,nmn,tea plant,n,1450
chagara,e ʧ a ɣ a ɾ a,mbacha: kilichozeeka,nmn,kv old tool,n,1452
echenge,e ʧ e:ŋe,,,,,1453
echenge,e ʧ e:ŋe,,,,,1454
echobo,e ʧɔ ꞵ ɔ,,,,,1455
echongerio,e ʧ oŋe ɾ io,"1. kejeli, shutumu, tia waa",nmn,mockery,n,1456
echongerie,e ʧ oŋe ɾ ie,,,,,1457
echore,e ʧ o ɾɛ,jichague,kt,select yourself,v,1458
echorere,,jichagulie,kt,select for yourself,v,1458
echororio,e ʧ o ɾ o ɾ io,,,,,1459
libel,,mzaha,nmn,joke,n,1459
echorua,e ʧɔ : ɾ wa,taji,nmn,crown,n,1460
echuge,e ʧ u ɣ e,,,,,1461
echuma,e ʧ uma,1. chuma n. metal n. ekioma gekoroserigwa ebinto ebikon’gu kerage 2. juma,nmn,week,n,1462
echuni,e ʧ uni,makungu,kv,roar,v,1463
echurubei,e ʧ u ɾ u ꞵ ei,yavuyavu,nmn,"watery, sponge",n,1464
echuene,e ʧ w ɛ n ɛ,mtu hodari kwa kutenda mabaya,kv,an expert in vice,v,1465
eembokerana,e:mboke ɾ ana,zomeana kwa muda,kt,quarrel for a while,v,1466
eera,ɛ : ɾ a,hela,nmn,cent: heller (Germany),n,1467
e|eri,e: ɾ i,ndume,nmn,bull,n,1468
e|ero,e: ɾ o,baraza,nmn,sitting room,n,1469
e|etanaano,e:tanano,mzungusho,nmn,circulation,n,1470
e|etanie,e:tanie,,,,,1471
jitenganishe,,,,,,1471
egambo,e ɣ ambo,maongezi,nmn,a talk,n,1472
eganga,e ɣ aŋa,,,,,1473
lengo,,,,,,1473
nia,,,,,,1473
objective,,,,,,1473
goal,,,,,,1473
egechachaka,e ɣ e ʧ a ʧ aka,unyende,nmn,shriek,n,1474
egechambura,e ɣ e ʧ ambu ɾ a,1. zambarau,nmn,java plum,n,1475
egechabero,e ɣ a ʧ a ꞵ e ɾ o,,,,,1476
egechachano,e ɣ e ʧ a ʧ an ɔ,"piga kite, koroma,gumia",nmn,groan,n,1477
egechaine,ɛɣɛʧ aine,kilembwekeza,nmn,great-great great grandchild,n,1478
egechanchabe,e ɣ e ʧ an ʧ a ꞵ e,"kichepe, tambara",nmn,rag,n,1479
egechara,e ɣ e ʧ a ɾ a,kucha,nmn,finger nail,n,1480
ebichara,,,,,,1480
egecharichi,e ɣ e ʧ a ɾ i ʧ i,tambara,nmn,rag,n,1481
egechembene,e ɣ e ʧ embene,kilembwe,nmn,great – great grandchild,n,1482
egechencheberi,e ɣ e ʧ en ʧ e ꞵ e ɾ i,kikojozi,nmn,bed-wetter,n,1483
egechere,e ɣ e ʧ e: ɾ e,,,,,1484
egechine,e ɣ e ʧ ine,makengeza,nmn,squint-eyed,n,1485
egecho .,ɛɣɛʧ o,1. chuki,nmn,hatred,n,1486
egechona,e ɣ e ʧ ona,,,,,1487
tundu,,,,,,1487
engoro,,,,,,1487
egechondo,e ɣ e ʧ o:ndo,,,,,1488
egechorio,ɛɣɛʧɔɾ i ɔ,matusi,nmn,abuse,n,1489
egechuchu,e ɣ e ʧ u ʧ u,kifaranga,nmn,chick,n,1490
egechukero,e ɣ e ʧ uke ɾ o,bahili,nmn,miser,n,1492
egechume,e ɣ e ʧ ume,mkingabale,nmn,jimson weed. datura arborea.datura stramonium,n,1493
egechunchugo,e ɣ e ʧ un ʧ u ɣ o,,,,,1495
chujio,,,,,,1495
egechuni,e ɣ e ʧ uni,mdudu,nmn,insect,n,1496
egechure,e ɣ e ʧ u: ɾɛ,swara,nmn,antelope,n,1497
egechwati,e ɣ e ʧ wati,tambara,nmn,rag,n,1498
egechwechwe,e ɣ e ʧ we ʧ we,kwenzi:sauti ya watu itokanayo na vita au kifo,nmn,commotion,n,1499
egeichorio,e ɣ ei ʧ o ɾ io,nyongeza,nmn,additional,n,1500
egeikaranso,e ɣ eika ɾ ans ɔ,kikao,nmn,"seating, congregation",n,1501
egeikaransero,e ɣ eika ɾ anse ɾ o,kikalio,nmn,seat,n,1502
egeikaro,e ɣ eika ɾɔ,,,,,1503
ngurunga,,,,,,1503
egeiku,e ɣ eiku,shaibu,nmn,a very old man,n,1504
egeitubo,e ɣ eitu ꞵ o,vazi,nmn,cloth,n,1505
egeka,e ɣ eka,egesha,kt,park,v,1506
egeke,ɛɣɛ k ɛ,kidogo,kv,small,v,1507
egekengererio,e ɣ ekeŋe ɾ e ɾ io,ŋe ɾ e ɾ io/. ert. kikingio,nmn,shed,n,1508
egeki,e ɣ eki,mshipa kuumeni,nmn,penis muscle,n,1509
egekoba,ʹɛɣɛ k ɔ ꞵ ɔ,mdomo,nmn,lip,n,1510
egekobo,ɛɣɛ k ʹɔ : ꞵ ɔ,msindikizo,nmn,escort,n,1511
egekoe,ɛɣɛ k ɔɛ,bweta,nmn,hiccup,n,1512
egekogera,ɛɣɛ k ɔɣɛɾ a,,,,,1513
kusudi,,,,,,1513
egekondo,ɛɣɛ k ɔ nd ɔ,,,,,1514
egekone,ɛɣɛ k ɔ n ɛ,muujiza,nmn,miracle,n,1516
egekongo,ɛɣɛ k ɔ ŋ ɔ,tawi lililobaki baada ya kukatwa,nmn,stump,n,1517
egekong’u,ɛɣɛ k ɔ ŋgu,kigumu,kv,"hard, tough, difficult",adj,1518
egekorekanu,e ɣ eko ɾ ekanu,,,,,1519
kilichokangayika(na),,,,,,1519
egekori,ɛɣɛ k ɔɾ i,kitokono,nmn,coccyx,n,1520
egekoro,ʹ e ɣ eko ɾ o,,,,,1521
egekoro,e ɣ ek ʹ o ɾ o,,,,,1523
tari,,,,,,1523
egekorwa,ɛɣɛ k ɔɾ wa,,,,,1524
egekuba,e ɣ eku ꞵ a,1. kifua,nmn,chest,n,1525
egekuguche,e ɣ eku ɣ u ʧ e,kifukofuko,nmn,"cocoon,worm nest",n,1526
egekunekero,e ɣ ekuneke ɾ o,kifuniko,nmn,lid,n,1527
egekuneko,e ɣ ekuneko,kifuniko,nmn,lid,n,1528
egekunekero,,,,,,1528
e gekungu,e ɣ ekuŋu,1. jike,nmn,female,n,1529
e gekuro,e ɣ eku ɾ o,yowe,nmn,scream,n,1530
egena,e ɣ ena,,,,,1531
amini,,,,,,1531
egene,e ɣ ene,,,,,1532
aamini,,,,,,1532
eg ento,e ɣ ento,kitu,nmn,thing,n,1533
egetuatua,e ɣ etwatwa,aya,nmn,paragraph,n,1534
egera,e ɣ e ɾ a,jifunze,kt,learn,v,1535
egera,ɛɣɛɾ a,hupima,kt,it measures,v,1536
egesa,e ɣ esa,,,,,1537
egesabo,e ɣ esa,tawi,nmn,branch,n,1538
egesaisero,e ɣ esaise ɾ o,kirimba,nmn,basket for chicks,n,1539
egesaku,e ɣ esaku,1. mlango wa kulia wa sebule,nmn,door in the sitting room,n,1540
namna,,,,,,1540
aina,,,,,,1540
type,,,,,,1540
breed,,,,,,1540
egesambeba,e ɣ esamb ɛ ꞵ a,panya,nmn,tree dormouse,n,1541
egesami,e ɣ esami,kengewa,nmn,eagle,n,1543
egeke,,mwewe,nmn,hawk,n,1543
egesamunye,e ɣ esamu ɲ e,obk. chembelele,nmn,piece,n,1544
egesamusero,e ɣ esamuse ɾ o,ebisamusero obn.. chujio,nmn,filter,n,1545
e gesangere,e ɣ esaŋe ɾ e,kipopo,nmn,jointly: en masse,adj,1546
egesanko,e ɣ esank ɔ,nyumba ya kiwavi,nmn,"house, scalp",n,1547
e gesantare,e ɣ esanta ɾɛ,chungwa,nmn,orange,n,1548
rire,,,,,,1548
egesany i,e ɣ esa ɲ i,wayo,nmn,sole,n,1549
egesara,e ɣ es ʹ a: ɾ a,kidondo,nmn,kindling,n,1550
egesara,e ɣ esa ɾ a,kilele,nmn,apex,n,1551
egesarara,e ɣ esa ɾ a ɾ a,kichaka,nmn,bush,n,1552
egesase,e ɣ esase,panzi,nmn,grasshopper,n,1553
egesasimero,e ɣ esasime ɾ o,,,,,1555
kanisa,,,,,,1555
altari,,,,,,1555
altar,,,,,,1555
egesasimo,e ɣ esasimo,ibada,nmn,mass,n,1556
egesembe,e ɣ esembe,,,,,1557
waa,,,,,,1557
mottled,,,,,,1557
egesembe,e ɣ esembe,,,,,1558
egesegesa,ɛɣɛ s ɛɣɛ sa,,,,,1559
talkative,,,,,,1559
egesena,e ɣ esena,kimori,nmn,apron covering private parts,n,1560
egesengere,e ɣ eseŋe ɾ e,makubaliano ya mahari,nmn,dowry agreement,n,1561
egesengereri,ɛɣɛ s ɛ ŋ ɛɾɛɾ i,,,,,1562
anayesengenya,,,,,,1562
egesegenyi,ɛɣɛ s ɛɲ i,kibanzi,nmn,speck,n,1563
egeseri,ɛɣɛ s ɛɾ i,1. kidazi,nmn,head-scar,n,1564
geseri,,,,,,1564
egesero,ɛɣɛ s ɛɾɔ,,,,,1565
hide,,,,,,1565
leather,,,,,,1565
egesero,e ɣ ese ɾ o,,,,,1566
sacrifice,,,,,,1566
egesero,ɛɣɛ s ɛɾɔ,,,,,1567
egesero,ɛɣɛ s ɛɾɔ,manii yasiyo na kizazi,nmn,infertile sperms,n,1568
e gesiantere,e ɣ esiante ɾ e,,,,,1569
mkozi,,,,,,1569
egesibi,e ɣ esi ꞵ i,kisozi,nmn,sun bird,n,1570
e gesieri,e ɣ esie ɾ i,mlango,nmn,door,n,1572
egesima,e ɣ esima,kisima,nmn,well,n,1573
e gesindereo,e ɣ esinde ɾ eo,sidiria,nmn,brassiere,n,1574
egesingororo,e ɣ esiŋo ɾ o ɾ o,mbayuwayu,nmn,swallow,n,1575
egesinsi,e ɣ esi:nsi,majimoto,nmn,little black ant,n,1576
egesio,e ɣ esio,neema: baraka,nmn,blessing,n,1577
e gesiosio,e ɣ esiosio,mbukulia,nmn,"chatterbox, gossip, scandalmonger",n,1578
egesiri,e ɣ esi: ɾ i,,,,,1579
kisagalima,,agalima,nmn,small hoe,n,1579
e gesiriri,e ɣ esi ɾ i ɾ i,chenene,nmn,cricket,n,1580
egesisa,e ɣ esisa,kipele,nmn,pustules,n,1582
egesisimori,e ɣ esisimo ɾ i,,,,,1583
alama,,za mshangao,nmn,exclamation marks,n,1583
egesoero,ɛɣɛ s ɔɛɾɔ,kiingilio,nmn,inlet,n,1584
esogisi,ɛ s ɔɣ isi,soksi,nmn,socks,n,1585
egesogora,e ɣ eso ɣ o ɾ a,kiguru,nmn,lame,n,1586
egesogoro,e ɣ eso ɣ o ɾ o,kimeta,nmn,anthrax,n,1587
egesokera,ɛɣɛ s ɔ k ɛɾ a,,,,,1588
mbuge,,,,,,1588
mlafi,,,,,,1588
egesokero,ɛɣɛ s ɔ k ɛɾɔ,,,,,1589
exit,,,,,,1589
egesokero,e ɣ esoke ɾ o,aibu,nmn,shame,n,1590
egesona,e ɣ esona,veranda,nmn,verandah,n,1591
egesongo,e ɣ esoŋo,,,,,1592
egesonkoirua,ɛɣɛ s ɔ nk ɔ i ɾ wa,,,,,1593
egesonkoinyua,ɛɣɛ s ɔ nk ɔ i ɲ wa,,,,,1594
egesono,ɛɣɛ s ɔ n ɔ,,,,,1595
gasono,a ɣ asono,,,,,1596
risono,ɾ isono,,,,,1597
ebisono,e ꞵ isono,,,,,1598
egesora,ɛɣɛ s ɔɾ a,kereng’ende,nmn,dragon fly,n,1600
egesori,ɛɣɛ s ɔɾ i,kijito,nmn,stream,n,1602
egesubaeri,e ɣ esu ꞵ ae ɾ i,faili ya kesi,nmn,case-file,n,1603
egesukera,e ɣ esuke ɾ a,,,,,1604
hypocrite,,,,,,1604
Egesunte egetang’ani,e ɣ esunte: ɣ etaŋgani,,,,,1605
Egesunte gia kabere,e ɣ esunte ɣ iaka ꞵ e ɾ e,,,,,1606
egesure,e ɣ esu ɾ e,,,,,1607
tuff,,,,,,1607
egesurura,e ɣ esu ɾ u ɾ a,,,,,1608
accacia,,,,,,1608
egesururu,e ɣ esu ɾ u ɾ u,mbayuwayu,nmn,swallows,n,1610
egesusu,e ɣ esusu,,,,,1612
hare n. egesusu gianka,,sungura,nmn,rabbit,n,1612
orosana,,sungura,nmn,hare,n,1612
egesusuro,e ɣ esusu ɾ o,adhabu,nmn,discipline,n,1613
egeswa ( ki’enyoni ),e ɣ eswa,kiota,nmn,nest,n,1614
egetabane,e ɣ eta ꞵ an ɛ,sehemu ya nambari,nmn,fraction,n,1615
egetabaranye,e ɣ eta ꞵ a ɾ a ɲɛ,sehemu ya nambari,nmn,fraction,n,1616
egetabigu,e ɣ eta ꞵ i ɣ u,,,,,1617
egetaboramato,e ɣ eta ꞵ o ɾ amato,popo,nmn,bat,n,1619
egetago,e ɣ eta ɣ o,kwato,nmn,hoof,n,1621
egetamase,e ɣ etamase,kovu,nmn,dot,n,1623
egetamero,e ɣ etame ɾ o,kisingizio: kijisababu,nmn,Excuse,n,1624
egetamo,e ɣ etamo,Machi,nmn,March,n,1625
egetangisi,e ɣ etaŋisi,mfupisho,nmn,abbreviation,n,1626
egetango,e ɣ etaŋ ɔ,,,,,1627
kizuizi,,,,,,1627
egetangora,e ɣ etaŋ ɔɾ a,chanja,nmn,rack,n,1628
egetanko,e ɣ etaŋk ɔ,kizinda,nmn,hymen,n,1629
egetantanio,e ɣ etantanio,kisingizio:kijisababu,nmn,excuse,n,1630
egetaratara,e ɣ eta ɾ ata ɾ a,kubazi,nmn,sandle,n,1631
egetare,e ɣ eta ɾɛ,mwamba,nmn,rock,n,1633
egetarenge,e ɣ eta ɾɛ ŋ ɛ,kifundo cha mguu,nmn,ankle,n,1634
egete,e ɣ ete,kijiti,nmn,stick,n,1635
egetete,ɛɣɛ t ɛ t ɛ,kitata,nmn,first aid splint,n,1636
egetebereria,ɛɣɛ t ɛ ꞵ ɛɾɛɾ ia,kielezi,nmn,adverb,n,1637
egetega,e ɣ ete ɣ a,kijungu,nmn,cooking pot,n,1638
egeteko,ɛɣɛ t ɛ k ɔ,mwinuko,nmn,slope,n,1640
egetembe,ɛɣɛ t ɛ mb ɛ,mchinjadamu,nmn,wild banana. ensete ventri-cosum,n,1641
egetemo,ɛɣɛ t ɛ :m ɔ,jaribio,nmn,trial,n,1643
egeteneneri,e ɣ etenene ɾ i,,,,,1644
egetengereri,ɛɣɛ t ɛ ŋ ɛɾɛɾ i,,,,,1645
egetengeri,ɛɣɛ t ɛ ŋ ɛɾ i,,,,,1646
egetengero,ɛɣɛ t ɛ ŋ ɛɾɔ,1 . kikindo nmn . observatory. vantange point for watching out for enemies aase omonto ateneine arore egento gete gose arore omobisa ert. 2. ulingo,nmn,scarecrow,n,1647
egeteni,ɛɣɛ t ɛ ni,kidondo,nmn,"firewood, kindling",n,1648
egeteni,e ɣ ete:ni,kidondo,nmn,a small stool,n,1649
egeterere,ɛɣɛ t ɛɾɛɾɛ,1 . aina ya ndege type of bird ebiterere obn.. enyoni eyemo egosoa ase emete ya abakengi . 2. ert. aina ya mti,nmn,a type of herb,n,1650
egeticha,e ɣ eti: ʧ a,kitalu,nmn,garden,n,1651
egetigari,e ɣ eti ɣ a ɾ i,,,,,1652
balance,,,,,,1652
egetinge,e ɣ etiŋ ɛ,mtali,nmn,anklet,n,1653
egetingiro,e ɣ etiŋi ɾ o,kisigino,nmn,heel,n,1654
egeting’u,e ɣ etie ŋ gu,thabiti,nmn,strong,adj,1655
egetininti,e ɣ etininti,kidogo ajabu,kv,tiny,adj,1656
egetinkinye,e ɣ etinki ɲɛ,ndege mwimbaji,nmn,warbler,n,1657
egetirero,e ɣ eti ɾ e ɾ o,ngazi,nmn,ladder,n,1659
egetirimboko,e ɣ eti ɾ imboko,1. mteremko,nmn,downslope,n,1660
egetiro,e ɣ eti ɾ o,1. mwinuko,nmn,uphill,n,1661
egetitira,e ɣ etiti ɾ a,mtutumo,nmn,tremor,n,1662
egetitiro,e ɣ etiti ɾ o,,,,,1663
mshindo,,,,,,1663
thud,,,,,,1663
egetocho,ɛɣɛ t ɔʧɔ,aina ya vazi,nmn,cloth,n,1664
egetogomera,ɛɣɛ t ɔɣɔ m ɛɾ a,,,,,1665
bopo,,,,,,1665
egetone,ɛɣɛ t ɔ n ɛ,kitone,nmn,dot,n,1666
egetesi,e ɣ et ɛ si,,,,,1667
egetong’o,ɛɣɛ t ɔ ŋ ɔ,chongo,nmn,one-eyed,n,1668
egetongwa,ɛɣɛ t ɔ :ŋwa,kiumbe,nmn,"creature, creation",n,1669
egetono,ɛɣɛ t ɔ n ɔ,,,,,1670
"nodule,",,,,,,1670
egetonto,e ɣ eto:nto,gugumua,nmn,reed grass,n,1671
egetoreka,e ɣ eto ɾ eka,mkurupuko,nmn,outbreak,n,1673
egiateko,,,,,,1673
egetoreka,e ɣ eto ɾ eka,mwatuko,nmn,explosion,n,1674
egetosi,ɛɣɛ t ɔ si,kiambishi,nmn,prefix or suffix,n,1675
bosio,,kiambishi cha mbele,nmn,suffix,n,1675
gati,,kiambishi cha kati,nmn,infix,n,1675
magega,,kiambishi cha nyuma,nmn,prefix,n,1675
egetu,e ɣ etu,,,,,1676
egetuba,e ɣ etu ꞵ a,hori,nmn,manger,n,1677
orotuba,,,,,,1677
egetubegi,e ɣ etu ꞵ e ɣ u,,,,,1678
case,,,,,,1678
egetugi,e ɣ etu ɣ i,kisiki,nmn,stump,n,1679
egetuma,e ɣ etu:ma,1. mhindi,nmn,maize,n,1681
egetuma,e ɣ etuma,kidokezo,nmn,hint,n,1682
egetumbe,e ɣ etu:mbe,,,,,1683
three-footed,,,,,,1683
egetume,e ɣ etume,,,,,1684
egetume ekeroria,e ɣ etume:eke ɾ oria,,,,,1685
egetunguo,e ɣ etuŋuo,kitunguu,nmn,onion,n,1686
mbariri,,,,,,1686
allium,,,,,,1686
egetunguonyantondo,e ɣ etuŋuoŋantondo,,,,,1688
allium,,,,,,1688
egetunua,e ɣ etunwa,mlima,nmn,mountain,n,1690
egeture,e ɣ etu ɾ e,kifaa kilichotengenezwa na mhunzi,nmn,tool.implement made by blacksmith,n,1691
egetureri,e ɣ etu ɾɛɾ i,mbiu,nmn,horn,n,1692
egeturi,e ɣ etu ɾ i,,,,,1693
kifaa,,cha mhunzi,nmn,blacksmith’s tool,n,1693
egianse,e ɣ ianse,ajuza,nmn,a very old woman,n,1694
egiata,e ɣ iata,nguli,nmn,"hero, champion",n,1695
egiataneneku,e ɣ iataneneku,,,,,1696
kerusananirie,,,,,,1696
egiateko,e ɣ iateko,mkasa,nmn,outbreak,n,1697
egetoreka,,,,,,1697
egingire,e ɣ iŋi ɾ e,jinyoe,kt,shave yourself,v,1698
egiosi,e ɣ iosi,mti wa dawa,nmn,a type of herb,n,1699
egiososu,e ɣ i ɔ s ɔ su,,,,,1700
egioto,e ɣ i ɔ t ɔ,chura,nmn,frog,n,1701
egiototeria,e ɣ i ɔ t ɔ t ɛɾ ia,,,,,1703
egogo,e ɣɔ : ɣɔ,kogo,nmn,occiput,n,1704
egonde,e ɣɔ nd ɛ,jamii,nmn,community,n,1705
egora,e ɣɔ : ɾ a,,,,,1706
egoree,e ɣɔɾɛɛ,beberu,nmn,billy-goat,n,1707
egoti,e ɣ o:ti,koti,nmn,coat,n,1708
egoti,e ɣɔ :ti,kilima cha majabali,nmn,rocky hill,n,1709
egurube,e ɣ u ɾ u ꞵ e,"kinikizo, mzigo",nmn,luggage,n,1710
eguasi,e ɣ wasi,bahati,nmn,birthright,n,1711
egwaya.,e ɣ waja,,,,,1712
eguayaresi,e ɣ waja ɾɛ si,redio,nmn,radio,n,1713
e gueng’i,e ɣ w ɛ ŋgi,sehemu,nmn,part,n,1714
eiki,eiki,chuma,nmn,week,n,1715
einyore,ei ɲ o ɾ e,jikumbuke,kt,rembember yourself,v,1716
einyorie,ei ɲ o ɾ ie,jikumbushe,kt,remind yourselve,v,1717
e ira,ei ɾ a,ahadi,nmn,promise,n,1718
eiranerie,ei ɾ ane ɾ ie,,,,,1719
eiro,ei ɾ o,,,,,1720
eite,eite,jiue,kt,kill yourself,v,1721
eitimo,eitimo,,,,,1722
eiyerie,eije ɾ ie,,,,,1723
ekabao,eka ꞵ ao,,,,,1724
e kagwa,eka ɣ wa,1. mkahawa,nmn,coffee plant,n,1725
ekamagani,ekama ɣ ani,shujaa,nmn,war hero,n,1727
ekamati,ekamati,wifi,nmn,sister-in-law,n,1728
ekenyaberi,eke ɲ a ꞵ e ɾ i,,,,,1729
ekanye,eka ɲɛ,keti,kt,sit,n,1730
ekeagera,ekea ɣ e ɾ a,agera / ekea ɣ e ɾ a/ . ert. chipukizi,nmn,shoot,n,1731
ekeandera,ekeande ɾ a,andera / ekeande ɾ a/. ert. 1. mlima mgumu kupanda. steepy hill. aase bn egetunwa kere akongu gotira gochia igoro . 2. shamba gumu kulimika. hard ground egetii kere egekongu korema. 3. jambo gumu kukamilisha,nmn,hard task,n,1732
ekearamba,ekea ɾ amba,"aramba / ekea ɾ amba/ . ert. nyigu, mavu",nmn,wasp,n,1733
ekebaga,eke ꞵ a ɣ a,baga / eke ꞵ a ɣ a/ . ert. paka,nmn,cat,n,1735
ekebaki,eke ꞵ aki,baki / eke ꞵ aki/ . ert. kipungu,nmn,kite,n,1736
ekebao,eke ꞵ a ɔ,"bao / eke ꞵ a ɔ / . ert. mvugulio,mwanya",nmn,"gap, lacuna",n,1737
ekebao,eka ꞵ ao,,,,,1738
ekebara,eke ꞵ a ɾ a,bara / eke ꞵ a ɾ a/ . ert. choo,nmn,toilet,n,1739
ekebara,eke ꞵ a: ɾ a,bara / eke ꞵ a: ɾ a/ . ert. ubale,nmn,piece,n,1740
ebibara,,,,,,1740
e kebarachi,eka ꞵ a ɾ a ʧ i,1. mbacha,nmn,old garment,n,1741
enkogoto,,,,,,1741
ekebaracho,eka ꞵa ɾ a: ʧɔ,,,,,1742
ekebaranye,eka ꞵ a ɾ a ɲɛ,baranye / eka ꞵ a ɾ a ɲɛ / . ert. sehemu ya nambari,nmn,fraction,n,1743
ekebate,eka ꞵ at ɛ,,,,,1744
ekebe,eke ꞵ e,"be / eke ꞵ e/ . 1. ekr. kiovu, kibovu, kibaya",kv,"bad, spoilt",adj,1745
ekebee,ɛ k ɛꞵ ɛ :,bee / ɛ k ɛꞵ ɛ :/ . ert. kushoto,nmn,left handed,n,1746
ekebenda,eke ꞵ enda,benda / eke ꞵ enda/. ert. kibofu,nmn,bladder (in female),n,1747
ekebendu,eke ꞵ endu,bendu / eke ꞵ endu/ . ert. kibete,nmn,dwarf,n,1748
ekemigi,,,,,,1748
ekebengi,eke ꞵ e ŋ i,bengi / eke ꞵ e ŋ i/ . ert. mbwa mwitu,nmn,wild-dog,n,1749
ekebera,ɛ k ɛꞵ ɛ : ɾ a,bera / ɛ k ɛꞵ ɛ : ɾ a/ . ert. mtoki,nmn,"inflamed gland, bubo",n,1750
ebibera,,,,,,1750
ekebese,eke ꞵ ese,,,,,1751
uncooked,,,,,,1751
