PSA_ID,Domain,en,guz,source_tag,en_clean,guz_clean,len_ratio,sw_clean
90,Education,"Be accountable! Schools, manage funds transparently.","Kabe omotenneeri omuya! Chisukuru,renda chibesa na kabe maiso marore",,"Be accountable! Schools, manage funds transparently.","Kabe omotenneeri omuya! Chisukuru,renda chibesa na kabe maiso marore",0.764705882,"Shuleni, tumia fedha kwa uwazi."
91,Education,"Be alert! Communities, report trafficking risks to 116.","Renda kegima! Ebinyoro, karwe amangana gotanga okoibwa kwa abana goetera 116.",,"Be alert! Communities, report trafficking risks to 116.","Renda kegima! Ebinyoro, karwe amang'ana gotanga okoibwa kwa abana goetera 116.",0.705128205,"Kuwa macho! Jumuiya, ripoti hatari ya biashara ya binadamu kwa 116."
92,Education,Be alert! Report suspicious activities near schools to authorities.,Ramokia amaiso! Manyia abagambi igoro yebinto biechitang'utang'u ange nesukuru.,,Be alert! Report suspicious activities near schools to authorities.,Ramokia amaiso! Manyia abagambi igoro yebinto biechitang'utang'u ang'e nesukuru.,0.8375,"Kuwa macho, ripoti shughuli za mashaka karibu na shule kwa wenye mamlaka."
93,Education,Be cautious! Avoid chemical hazards near schools.,Ramokia amaiso! Tanga emechando ekorentwa nebinto biria abana bagokorera obosansi esukuru bire ebiechisumu,,Be cautious! Avoid chemical hazards near schools.,Ramokia amaiso! Tanga emechando ekorentwa nebinto biria abana bagokorera obosansi esukuru bire ebiechisumu,0.462264151,"Uwe mwangalifu, epuka hatari za kemikali karibu na shule."
94,Education,Be flood-ready! Practice safe evacuation in schools.,Eariganie! Egera enchera engiya yokominchoria korwa omorero hisukuru .,,Be flood-ready! Practice safe evacuation in schools.,Eariganie! Egera enchera engiya yokominchoria korwa omorero hisukuru .,0.742857143,Uwe tayari kwa mafuriko!
95,Education,Be prepared! Conduct fire evacuation drills in schools.,Eariganie ase etoigo! Practice safe evacuation in schools. Egera chinchera chiokonyi ase chikuru.,,Be prepared! Conduct fire evacuation drills in schools.,Eariganie ase etoigo! Practice safe evacuation in schools. Egera chinchera chiokonyi ase chikuru.,0.567010309,"Jitayarishe, fanya mazoezi ya kuondoa moto katika shule."
96,Education,Be prepared! Conduct regular fire safety drills in schools.,"Kabe nomoroberio na botambe kweger chinchera chiobosala chia bwango korusia abana, abarimu na abakori emero isiko yesukuru abwo ase omorero ogwoka ",,Be prepared! Conduct regular fire safety drills in schools.,"Kabe nomoroberio na botambe kweger chinchera chiobosala chia bwango korusia abana, abarimu na abakori emero isiko yesukuru abwo ase omorero ogwoka",0.404109589,Uwe tayari! Fanya mazoezi ya kawaida ya usalama wa moto katika shule.
97,Education,Be prepared! Practice school lockdown drills for safety.,Eariganie! Kora obotati kera engaki na omeroberio yogotanga ogwateka kwomorero ase esukuru nenchire chiogotamera ekero omorero bwatekire,,Be prepared! Practice school lockdown drills for safety.,Eariganie! Kora obotati kera engaki na omeroberio yogotanga ogwateka kwomorero ase esukuru nenchire chiogotamera ekero omorero bwatekire,0.411764706,Jitayarishe! Fanya mazoezi ya shule ya kufungwa kwa usalama.
98,Education,Be ready! Practice earthquake drills in schools.,Eariganie! Egera igoro yomotengecho,,Be ready! Practice earthquake drills in schools.,Eariganie! Egera igoro yomotengecho,1.371428571,Jitayarishe! Fanya mazoezi ya matetemeko ya ardhi katika shule.
99,Education,Be ready! Practice landslide evacuation drills in schools.,Eariganie! Egera igoro yokwerenda nemetengecho esuku,,Be ready! Practice landslide evacuation drills in schools.,Eariganie! Egera igoro yokwerenda nemetengecho esuku,1.115384615,"Jitayarishe, fanya mazoezi ya kuondoa maporomoko ya ardhi katika shule."
100,Education,Be vigilant! Report school fee fraud to authorities.,Kabe nobongaini. Manyia abatenereri bechisukuru igoro yoboibi bwechibesa chiesukuru .,,Be vigilant! Report school fee fraud to authorities.,Kabe nobong'aini. Manyia abatenereri bechisukuru igoro yoboibi bwechibesa chiesukuru .,0.604651163,"Kuwa macho, ripoti udanganyifu wa ada za shule kwa mamlaka."
101,Education,"Becomes Technical University of Mombasa, offering modern TVET.","Yabeire eyunifasity Yobobundi Nechisemi Chiokwegendereria ya Mombasa, egosomia amasomo abono a TVET.",,"Becomes Technical University of Mombasa, offering modern TVET.","Yabeire eyunifasity Yobobundi Nechisemi Chiokwegendereria ya Mombasa, egosomia amasomo abono a TVET.",0.62,"Inakuwa Chuo Kikuu cha Ufundi cha Mombasa, kutoa TVET kisasa."
102,Education,Boost STEM! Promote science and technology in schools.,chinde ase chingongo chai ime buna kitui.,,Boost STEM! Promote science and technology in schools.,chinde ase chingongo chai ime buna kitui.,1.317073171,Kuendeleza STEM! Kuendeleza sayansi na teknolojia katika shule.
103,Education,Bridge the gap! Build more schools in rural areas like Kitui.,Keania ogotareng'ana ase chisemi! Gesa chisukuru  Karwe ebikireri biegedichitari as abana bare noborema.,,Bridge the gap! Build more schools in rural areas like Kitui.,Keania ogotareng'ana ase chisemi! Gesa chisukuru Karwe ebikireri biegedichitari as abana bare noborema.,0.59223301,Kufunga pengo hilo! Jenga shule zaidi katika maeneo ya mashambani kama Kitui.
104,Education,Bridge the gap! Provide digital tools for disabled students.,Keania ogotareng'ana. Karwe ebigokonya abana goikera etkinorochia.,,Bridge the gap! Provide digital tools for disabled students.,Keania ogotareng'ana. Karwe ebigokonya abana goikera etkinorochia.,0.909090909,Wape wanafunzi wenye ulemavu vifaa vya digital.
105,Education,Broadcasts customized per region,Okoraria korengete chingongo,,Broadcasts customized per region,Okoraria korengete chingongo,1.142857143,Maonyesho yanayotengwa kwa mkoa
106,Education,Build better schools! Invest in classrooms and facilities.,Agacha chisukuru chingiya! Segeta emeroberio yoboagachi ase chingongo chinyomo.,,Build better schools! Invest in classrooms and facilities.,Agacha chisukuru chingiya! Segeta emeroberio yoboagachi ase chingongo chinyomo.,0.734177215,"Jenga shule bora, uwekeze katika madarasa na vifaa."
107,Education,Build better schools! Support infrastructure projects in ASAL regions.,Agacha chinyomba chiokorara chiesukuru chiria abana benyete ime omwaka 2022.,,Build better schools! Support infrastructure projects in ASAL regions.,Agacha chinyomba chiokorara chiesukuru chiria abana benyete ime omwaka 2022.,0.921052632,Kujenga shule bora! Kuunga mkono miradi ya miundombinu katika mikoa ya ASAL.
108,Education,Build dormitories for boarding schools 2022.,Agacha chisemi! Rosia chinyomba chiogosomera kera esukuru.,,Build dormitories for boarding schools 2022.,Agacha chisemi! Rosia chinyomba chiogosomera kera esukuru.,0.75862069,Jenga vyumba vya kulala kwa ajili ya shule za bweni 2022.
109,Education,Build knowledge! Establish libraries in every school.,Menta koagacha ebirasi bia abana bagosomera omwaka 2022.,,Build knowledge! Establish libraries in every school.,Menta koagacha ebirasi bia abana bagosomera omwaka 2022.,0.946428571,Jenga maarifa! Ianzisha maktaba katika kila shule.
110,Education,Build more classrooms 2022.,Aagacha chinyomba chiria chiogokora emesangerekano omwaka 2022.,,Build more classrooms 2022.,Aagacha chinyomba chiria chiogokora emesangerekano omwaka 2022.,0.428571429,Jenga vyumba vingi vya darasa 2022.
111,Education,Build multi-purpose halls 2022.,Baagache chinyomba chiogokora emesangerekano ao ao,,Build multi-purpose halls 2022.,Baagache chinyomba chiogokora emesangerekano ao ao,0.62,Jengo la kujenga majumba ya matumizi mengi 2022.
112,Education,Build safely! Install flood-resistant school structures.,Baagahe mochando otaiyo! Barosie amaagacho akonyara koremereria etoigo.,,Build safely! Install flood-resistant school structures.,Baagahe mochando otaiyo! Barosie amaagacho akonyara koremereria etoigo.,0.788732394,"Jenga shule kwa usalama, na uweke majengo ya shule yenye kuhimili mafuriko."
113,Education,Build skills! Enroll in construction training programs.,Kinia chisemi! Erike ase omoroberio bwoboagachi.,,Build skills! Enroll in construction training programs.,Kinia chisemi! Erike ase omoroberio bwoboagachi.,1.145833333,Jiunge na programu za mafunzo ya ujenzi.
114,Education,Build teacher resource centers 2022.,Agacha chinyomba ase abaarimu bakonyora chisemi omwaka o 2022.,,Build teacher resource centers 2022.,Agacha chinyomba ase abaarimu bakonyora chisemi omwaka o 2022.,0.580645161,Kujenga vituo vya rasilimali za walimu 2022.
115,Education,Build your future! Join TVET programs for technical skills.,Agacha obogima bwamotwe bwao! Soa omoroberio bwobundi nechisemi chiokwegendereria .,,Build your future! Join TVET programs for technical skills.,Agacha obogima bwamotwe bwao! Soa omoroberio bwobundi nechisemi chiokwegendereria .,0.710843373,Jenga wakati wako ujao! Jiunge na programu za TVET kwa ujuzi wa kiufundi.
116,Education,Bursary application portal now open for needy students in all 47 counties.,Egekoreri giokorwa chibesa gonya baria bigosoma oigoirwe bono as abana baria bare nokogania ime yechikaonti 47 chionsi.,,Bursary application portal now open for needy students in all 47 counties.,Egekoreri giokorwa chibesa gonya baria bigosoma oigoirwe bono as abana baria bare nokogania ime yechikaonti 47 chionsi.,0.621848739,Portal ya maombi ya udhamini sasa imefunguliwa kwa wanafunzi wenye uhitaji katika wilaya zote 47.
117,Education,Bursary fraud alert: Only apply via official county portals ÃÂ¢Ã¢âÂ¬Ã¢â¬Å ignore WhatsApp scammers.,"Ogokurerwa igoro yechibesa chiogosomera: Toma ogosaba kwa goetera omoroberio bwekaonti yegetekinorochia obeene, ombia oborianania bwa abaibi ba Whatsapp.",,Bursary fraud alert: Only apply via official county portals – ignore WhatsApp scammers.,"Ogokurerwa igoro yechibesa chiogosomera: Toma ogosaba kwa goetera omoroberio bwekaonti yegetekinorochia obeene, ombia oborianania bwa abaibi ba Whatsapp.",0.568627451,Tahadhari ya udanganyifu wa ushirika: Tumia tu kupitia portal rasmi za kaunti  kuwapuuza watapeli wa WhatsApp.
118,Education,Bursary fraud: Only use official county portals ÃÂ¢Ã¢âÂ¬Ã¢â¬Å ignore WhatsApp groups!,"Oboibi bwechibesa chiogosomera: Saba chibesa echi goetera portals yekaonti, ombia obongainereria korwa baria ba WhatsApp!",,Bursary fraud: Only use official county portals – ignore WhatsApp groups!,"Oboibi bwechibesa chiogosomera: Saba chibesa echi goetera portals yekaonti, ombia obongainereria korwa baria ba WhatsApp!",0.603305785,Ulaghai wa Bursary: Tumia tu tovuti rasmi za wilaya  Puuza makundi ya WhatsApp!
119,Education,Cabinet Secretary Ezekiel Machogu announced that the government will no longer fully fund public universities and colleges,Omowaziri bwechisemi Ezekiel Machogu natebete ng'a  eserikari bono tekorwa gose goakanera chiyunifasiti nechokorechi chibesa chionsi,,Cabinet Secretary Ezekiel Machogu announced that the government will no longer fully fund public universities and colleges,Omowaziri bwechisemi Ezekiel Machogu natebete ng'a eserikari bono tekorwa gose goakanera chiyunifasiti nechokorechi chibesa chionsi,0.93129771,Katibu wa Kabini Ezekiel Machogu alitangaza kwamba serikali haitawapa fedha kabisa vyuo vikuu na vyuo vikuu vya umma
120,Education,CBC forums in all counties in February.,Ebikaranso igoro yesisemi chirengete okobua kwomwana (CBC) mbikoreke chikaonti chionso 47 forums in all counties in February.,,CBC forums in all counties in February.,Ebikaranso igoro yesisemi chirengete okobua kwomwana (CBC) mbikoreke chikaonti chionso 47 forums in all counties in February.,0.312,Mikutano ya CBC katika wilaya zote Februari.
121,Education,CBC lessons on Radio Taifa from 10 AM daily.,Ogosomia igoro yechisemi chirengete okobua (CBC) nkobe goetera Radio Taifa gochakera 4 chiamambia kera rituko.,,CBC lessons on Radio Taifa from 10 AM daily.,Ogosomia igoro yechisemi chirengete okobua (CBC) nkobe goetera Radio Taifa gochakera 4 chiamambia kera rituko.,0.4,Somo la CBC kwenye Radio Taifa kuanzia saa 10 asubuhi kila siku.
122,Education,CBC lessons on Radio Taifa from 10 AM.,Chisemi chirengete okobua kwomwana (CBC) goetera  Radio Taifa korwa chinsa 4 chia mambia.,,CBC lessons on Radio Taifa from 10 AM.,Chisemi chirengete okobua kwomwana (CBC) goetera Radio Taifa korwa chinsa 4 chia mambia.,0.431818182,Masomo ya CBC kwenye Radio Taifa kutoka 10 AM.
123,Education,CBC sensitization forums held in all counties.,Okomanyia Chisemi chirengete okobua kwomwana (CBC) nchokorwe chikaonti 47 chionsi.,,CBC sensitization forums held in all counties.,Okomanyia Chisemi chirengete okobua kwomwana (CBC) nchokorwe chikaonti 47 chionsi.,0.56097561,Mikutano ya ufahamu CBC uliofanyika katika counties zote.
124,Education,Celebrate education milestones 2025.,Gokera ayaikeranigwe ase chisemi 2025.,,Celebrate education milestones 2025.,Gokera ayaikeranigwe ase chisemi 2025.,0.947368421,Kusherehekea mipaka ya elimu mwaka 2025.
125,Education,Celebrate teachers' day 2025.,Gokera rituko riabarimu 2025.,,Celebrate teachers' day 2025.,Gokera rituko riabarimu 2025.,1,Sherehe ya Siku ya Walimu 2025.
126,Education,Centre Managers and Invigilators must register on CP2 system.,Abateneneri bechisenta chiamatemu nabanene babo goika berika ase omoroberio o CP2.,,Centre Managers and Invigilators must register on CP2 system.,Abateneneri bechisenta chiamatemu nabanene babo goika berika ase omoroberio o CP2.,0.743902439,Wasimamizi wa vituo na Wasimamizi lazima wajiandikishe kwenye mfumo wa CP2.
127,Education,Character used in civic skits and materials,Chibicha chiria chigokonya kworokereria  amosomo igoro yobogesaku nebinyoro,,Character used in civic skits and materials,Chibicha chiria chigokonya kworokereria amosomo igoro yobogesaku nebinyoro,0.581081081,Tabia inayotumiwa katika skits na vifaa vya raia
128,Education,"Citizen TV, owned by Royal Media Services (RMS), boasts of top-rated talent. Over the years, the media personalities have earned recognition for their storytelling skills and award-winning shows. Alth...","Etibi ya Citizen TV, ya Royal Media Services (RMS), nwetogeria bare buan abamo ba baria bare nekeegwa kia igoro ase okoraria amang'ana. Emiaka ikomi yaerire, abariki amangana bamanyekanire kegima ase emeremo yabo yokorwa emegano yamangana nakwenyorera obobui ase okworokereria okwo. Nonya...",,"Citizen TV, owned by Royal Media Services (RMS), boasts of top-rated talent. Over the years, the media personalities have earned recognition for their storytelling skills and award-winning shows. Alth...","Etibi ya Citizen TV, ya Royal Media Services (RMS), nwetogeria bare buan abamo ba baria bare nekeegwa kia igoro ase okoraria amang'ana. Emiaka ikomi yaerire, abariki amangana bamanyekanire kegima ase emeremo yabo yokorwa emegano yamangana nakwenyorera obobui ase okworokereria okwo. Nonya...",0.697594502,"Citizen TV, inayomilikiwa na Royal Media Services (RMS), ina talanta zilizowekwa juu. Kwa miaka mingi, watu wa vyombo vya habari wamepata kutambuliwa kwa ustadi wao wa kusimulia hadithi na maonyesho ya kushinda tuzo."
129,Education,Civic education clubs mandatory in all secondary schools from 2026.,Ebiombe igoro yobogesaku birosigwe onsi,,Civic education clubs mandatory in all secondary schools from 2026.,Ebiombe igoro yobogesaku birosigwe onsi,1.717948718,Klabu za elimu ya raia lazima katika shule zote za sekondari kutoka 2026.
130,Education,Civic education exam Dec 10 ÃÂ¢Ã¢âÂ¬Ã¢â¬Å download past paper from KNEC now!,"Amatemwa igoro yobegesaku chittariki 10 omotienyi 12, nyora amasakara ogosoma korwa ekeombe keria ekenene getenerete amatemwa (KNEC) bono!",,Civic education exam Dec 10 – download past paper from KNEC now!,"Amatemwa igoro yobegesaku chittariki 10 omotienyi 12, nyora amasakara ogosoma korwa ekeombe keria ekenene getenerete amatemwa (KNEC) bono!",0.463768116,Mtihani wa elimu ya kiraia Desemba 10  Pakua karatasi ya zamani kutoka KNEC sasa!
131,Education,Civic education exam leaks online ÃÂ¢Ã¢âÂ¬Ã¢â¬Å download official version from KNEC before fake ones spread!,"Amatemwa yobogesaku nigo akoiberwa embeo igoro,  nyora amatemwa abeene goetera KNEC nyuma yamatemwa oborimo gosarera!",,Civic education exam leaks online – download official version from KNEC before fake ones spread!,"Amatemwa yobogesaku nigo akoiberwa embeo igoro, nyora amatemwa abeene goetera KNEC nyuma yamatemwa oborimo gosarera!",0.827586207,Mtihani wa elimu ya raia unavuja kwenye mtandao  Pakua toleo rasmi kutoka KNEC kabla ya zile bandia kuenea!
132,Education,Civic education exam set for December 5 ÃÂ¢Ã¢âÂ¬Ã¢â¬Å download free notes from KICD portal today.,"Amatemwa yobogesaku abekirwe chitariki 5 chiomotienyi 12, nyora amasakara ekkene arakorae ase amatemwa korwa KICD rero.",,Civic education exam set for December 5 – download free notes from KICD portal today.,"Amatemwa yobogesaku abekirwe chitariki 5 chiomotienyi 12, nyora amasakara ekkene arakorae ase amatemwa korwa KICD rero.",0.714285714,Mafunzo ya elimu ya raia yamewekwa kwa Desemba 5  Pakua noti za bure kutoka kwa portal ya KICD leo.
133,Education,Civic education now 25% of Grade 9 final grade ÃÂ¢Ã¢âÂ¬Ã¢â¬Å study or fail!,"Amatemwa obogesaku bono 25% besukuru yesekondari ya inse 9 okorengwa kwomoerio, soma gose ogwe!",,Civic education now 25% of Grade 9 final grade – study or fail!,"Amatemwa obogesaku bono 25% besukuru yesekondari ya inse 9 okorengwa kwomoerio, soma gose ogwe!",0.663157895,Elimu ya kiraia sasa 25% ya darasa la 9 darasa la mwisho  kusoma au kushindwa!
134,Education,Civic education now 30% of Grade 9 final score ÃÂ¢Ã¢âÂ¬Ã¢â¬Å download free notes from KICD TODAY!,"Amasomo igoro yobogesaku 30% ase abana bekerasi gia 9 amatemwa omoerio, nyora amasakara ogosoma a bosa korwa KICD RERO!",,Civic education now 30% of Grade 9 final score – download free notes from KICD TODAY!,"Amasomo igoro yobogesaku 30% ase abana bekerasi gia 9 amatemwa omoerio, nyora amasakara ogosoma a bosa korwa KICD RERO!",0.714285714,Elimu ya kiraia sasa 30% ya alama ya mwisho ya Darasa la 9  pakua noti za bure kutoka KICD TODAY!
135,Education,Civic education now 40% of Grade 9 score ÃÂ¢Ã¢âÂ¬Ã¢â¬Å free notes on KICD portal!,"Buna abana bakorete ase amasomo obogesaku bono 40% ase abana bekerasi gia 9, amasakara a bosa korwa KICD!",,Civic education now 40% of Grade 9 score – free notes on KICD portal!,"Buna abana bakorete ase amasomo obogesaku bono 40% ase abana bekerasi gia 9, amasakara a bosa korwa KICD!",0.657142857,Elimu ya kiraia sasa 40% ya alama ya Darasa la 9  noti za bure kwenye portal ya KICD!
136,Education,Civic education now a compulsory subject in all teacher training colleges.,Amasomo obogesaku bono nayekebetererio  ase chikorechi chibwarimu chionsi.,,Civic education now a compulsory subject in all teacher training colleges.,Amasomo obogesaku bono nayekebetererio ase chikorechi chibwarimu chionsi.,1.01369863,Elimu ya kiraia sasa ni somo la lazima katika vyuo vyote vya mafunzo ya walimu.
137,Education,Civic education now carries 20% weight in Grade 9 assessment ÃÂ¢Ã¢âÂ¬Ã¢â¬Å study hard.,"Amasomo obegesaku bono korengana nokorenga abogoirie oborito bwa 20% ase abana begeredi gia 9, soma mono.",,Civic education now carries 20% weight in Grade 9 assessment – study hard.,"Amasomo obegesaku bono korengana nokorenga abogoirie oborito bwa 20% ase abana begeredi gia 9, soma mono.",0.704761905,Elimu ya kiraia sasa hubeba 20% uzito katika tathmini ya Darasa la 9  kujifunza kwa bidii.
138,Education,"Clean schools, healthy students! Maintain sanitation to stop cholera.","Sibia chisukuru, abana bare na afia engiya! Renda obochenu bwechicoo na amache gotanga endwari yogosaa.",,"Clean schools, healthy students! Maintain sanitation to stop cholera.","Sibia chisukuru, abana bare na afia engiya! Renda obochenu bwechicoo na amache gotanga endwari yogosaa.",0.669902913,"Shule safi, wanafunzi wenye afya, kudumisha usafi wa mazingira ili kuzuia kipindupindu."
139,Education,Clubs host mock elections and debates,Ebiombe biesukuru nkoba bire nokwegia kwobochori amo nechinkwana.,,Clubs host mock elections and debates,Ebiombe biesukuru nkoba bire nokwegia kwobochori amo nechinkwana.,0.569230769,Klabu huandaa uchaguzi wa bandia na majadiliano
140,Education,Clubs to perform for civic week,Ebiombe korwa amaorokererio ekero kwegwiki yobogesaku,,Clubs to perform for civic week,Ebiombe korwa amaorokererio ekero kwegwiki yobogesaku,0.58490566,Klabu za kufanya kazi kwa ajili ya wiki ya kiraia
141,Education,Code your future! Learn IT skills in vocational programs.,Agacha na beka chinguru obogima bwao bwa motwe! Egera igoro yechinchera chiokomanyia na kogacha amang'ana (IT) ase omoroberio bwechikorechi chiechisemi.,,Code your future! Learn IT skills in vocational programs.,Agacha na beka chinguru obogima bwao bwa motwe! Egera igoro yechinchera chiokomanyia na kogacha amang'ana (IT) ase omoroberio bwechikorechi chiechisemi.,0.375,Pata ujuzi wa IT katika programu za kitaaluma.
142,Education,Collaborations with urban artists,Bwaterana na baria bechigosori chiokwegia bemechie.,,Collaborations with urban artists,Bwaterana na baria bechigosori chiokwegia bemechie.,0.647058824,Ushirikiano na wasanii wa mijini
143,Education,Comic translated into 3 languages,Enkwana ase ebiorokererio yaonchoirwe ase emenwa yebisaku bitato,,Comic translated into 3 languages,Enkwana ase ebiorokererio yaonchoirwe ase emenwa yebisaku bitato,0.515625,Mchoro wa kutafsiriwa katika lugha 3
144,Education,"Communities, be vigilant! Report terror threats near schools.","Ebinyoro, kabe maiso! Karwe amang'ana igoro yobosaria gochia schools.",,"Communities, be vigilant! Report terror threats near schools.","Ebinyoro, kabe maiso! Karwe amang'ana igoro yobosaria gochia schools.",0.884057971,"Jumuiya, kuwa macho! Ripoti vitisho vya ugaidi karibu na shule."
145,Education,"Communities, stay safe! Prevent abductions near schools.","Ebinyoro, menya bwoba botaiyo! Tanga okobwatwa kwa abanto ase enchera etabwenereti ange nechisukuru.",,"Communities, stay safe! Prevent abductions near schools.","Ebinyoro, menya bwoba botaiyo! Tanga okobwatwa kwa abanto ase enchera etabwenereti ange nechisukuru.",0.56,"Jumuiya, kaa salama!"
146,Education,"Communities, support schools! Contribute to fee payments.","Ebinyoro, sira chisukuru. Ekeranio ayio ase ogoakana esukuru fisi.",,"Communities, support schools! Contribute to fee payments.","Ebinyoro, sira chisukuru. Ekeranio ayio ase ogoakana esukuru fisi.",0.863636364,"Jumuiya, kusaidia shule!"
147,Education,Conduct energy audits 2024.,kabe nomoroberio bwokomanya buns omorero gose esitima egotumeka 2024.,,Conduct energy audits 2024.,kabe nomoroberio bwokomanya buns omorero gose esitima egotumeka 2024.,0.391304348,Kufanya ukaguzi wa nishati 2024.
148,Education,Conduct enrollment drives 2025.,Kora emeroberio yokorika abana 2025.,,Conduct enrollment drives 2025.,Kora emeroberio yokorika abana 2025.,0.861111111,Kufanya usajili wa kuendesha 2025.
149,Education,Conduct equity audits 2023.,Kora omoroberio bwokomanya oboreng'ananu 2023.,,Conduct equity audits 2023.,Kora omoroberio bwokomanya oboreng'ananu 2023.,0.586956522,Kufanya ukaguzi wa hisa mwaka 2023.
150,Education,Conduct fire drills in schools 2020.,Kebe nomoroberio bwokomanya buna omorero gose esitima egotumeka gotanga ogwateka kwomorero esukuru 2020.,,Conduct fire drills in schools 2020.,Kebe nomoroberio bwokomanya buna omorero gose esitima egotumeka gotanga ogwateka kwomorero esukuru 2020.,0.346153846,Kufanya mazoezi ya moto katika shule 2020.
151,Education,Conduct heritage days 2020.,kabe nomoroberio bwogochengera na gosegeta chingencho chiobogesaku ase oboama 2020.,,Conduct heritage days 2020.,kabe nomoroberio bwogochengera na gosegeta chingencho chiobogesaku ase oboama 2020.,0.325301205,Kufanya Siku za Urithi 2020.
152,Education,Conduct literacy assessments 2020.,Kabe nomoroberio komanya ebirengo biechisemi 2020.,,Conduct literacy assessments 2020.,Kabe nomoroberio komanya ebirengo biechisemi 2020.,0.68,Kufanya tathmini za uelewa wa kusoma na kuandika 2020.
153,Education,Conduct parent-teacher conferences biannually.,Kabe nomoroberio bwokorenta abaibori na abarimu amo ase chinkwana arakabere ase omwaka,,Conduct parent-teacher conferences biannually.,Kabe nomoroberio bwokorenta abaibori na abarimu amo ase chinkwana arakabere ase omwaka,0.534883721,Kufanya mikutano ya wazazi na walimu mara mbili kwa mwaka.
154,Education,Conduct safety audit in boarding schools by September 30.,Kabe nomoroberio yokobeka oborendi obuya ase chisukuru chiria abana bamenyete ime nyuma yechitariki 30 omotienyi 9.,,Conduct safety audit in boarding schools by September 30.,Kabe nomoroberio yokobeka oborendi obuya ase chisukuru chiria abana bamenyete ime nyuma yechitariki 30 omotienyi 9.,0.495652174,Fanya ukaguzi wa usalama katika shule za uhamiaji kufikia Septemba 30.
155,Education,Conduct safety audit using 2008 Manual by September 30.,Kabe nomoroberio omuya bwoborendi goetera egatabu kiamaorokererio kia omwaka 2008 nyuma yechitariki 30 chiomotienyi 9.,,Conduct safety audit using 2008 Manual by September 30.,Kabe nomoroberio omuya bwoborendi goetera egatabu kiamaorokererio kia omwaka 2008 nyuma yechitariki 30 chiomotienyi 9.,0.466101695,Kufanya ukaguzi wa usalama kwa kutumia Mwongozo wa 2008 kufikia Septemba 30.
156,Education,Conduct school audits for safety 2024.,Kabe nomoroberio bwokomanya oborendi bwesukuru omwaka 2024.,,Conduct school audits for safety 2024.,Kabe nomoroberio bwokomanya oborendi bwesukuru omwaka 2024.,0.644067797,Kufanya ukaguzi wa shule kwa usalama 2024.
157,Education,Conduct waste management training 2024.,Kbe nomoroberio bwokwegeria buna ogosangereria eubi 2024.,,Conduct waste management training 2024.,Kbe nomoroberio bwokwegeria buna ogosangereria eubi 2024.,0.684210526,Kufanya mafunzo ya usimamizi wa taka 2024.
158,Education,Connect rural schools! Provide internet for learning.,Bwatania chisukuru chia nka! Renta omoroberio bweintaneti gokonya gosoma.,,Connect rural schools! Provide internet for learning.,Bwatania chisukuru chia nka! Renta omoroberio bweintaneti gokonya gosoma.,0.726027397,Unganisha shule za mashambani!
159,Education,Connect to learn! Provide free Wi-Fi in schools.,Bwatana na abana bari bagosoma! Karwe omoroberio obosa bweintaneti ase chisukuru.,,Connect to learn! Provide free Wi-Fi in schools.,Bwatana na abana bari bagosoma! Karwe omoroberio obosa bweintaneti ase chisukuru.,0.592592593,Kuunganisha ili kujifunza! Kutoa bure Wi-Fi katika shule.
160,Education,Continue learning! Support schools in drought zones.,Genderera gosoma! Konya chisukuru chiria chire ase chingongo chinyomo.,,Continue learning! Support schools in drought zones.,Genderera gosoma! Konya chisukuru chiria chire ase chingongo chinyomo.,0.742857143,Endelea kujifunza!
161,Education,Correct details on CBA portal now.,Amang'ana amaikeranu bono igoro yechisemi chiria chirengete okwenya gwa kera omwana nao chire ase (CBA) bono.,,Correct details on CBA portal now.,Amang'ana amaikeranu bono igoro yechisemi chiria chirengete okwenya gwa kera omwana nao chire ase (CBA) bono.,0.311926606,Kurekebisha maelezo kwenye portal CBA sasa.
162,Education,Correct details on CBA portal to avoid disqualification.,Amang'ana amaikeranu echisemi chiria chirengete okwenya gwa kera omwana nao are CBA erio gotanga okoiyerigwa amatemu.,,Correct details on CBA portal to avoid disqualification.,Amang'ana amaikeranu echisemi chiria chirengete okwenya gwa kera omwana nao are CBA erio gotanga okoiyerigwa amatemu.,0.478632479,Taarifa sahihi kwenye portal ya CBA ili kuepuka kukataa.
163,Education,Correct details on CBA portal to avoid issues.,Amang'ana amaikeranu ase CBA gotanga mochando onde bwensi.,,Correct details on CBA portal to avoid issues.,Amang'ana amaikeranu ase CBA gotanga mochando onde bwensi.,0.793103448,Kurekebisha maelezo kwenye portal CBA ili kuepuka matatizo.
164,Education,Council of Governors creates audio series on devolution matters.,Egeikaranso kiabagafana yarosirie omoroberio bwogotegererwa chinkwana chiabo igoro yeserikari yechikaonti.,,Council of Governors creates audio series on devolution matters.,Egeikaranso kiabagafana yarosirie omoroberio bwogotegererwa chinkwana chiabo igoro yeserikari yechikaonti.,0.603773585,Baraza la Waziri huandaa mfululizo wa sauti kuhusu masuala ya uhamisho.
165,Education,Council of Governors hosts sensitization sessions on devolved services.,Egeikaranso kiabagafana giachakire komanyia abanto igoro yobokorei bweserikari yechikaonti.,,Council of Governors hosts sensitization sessions on devolved services.,Egeikaranso kiabagafana giachakire komanyia abanto igoro yobokorei bweserikari yechikaonti.,0.78021978,Baraza la Waziri hufanya mikutano ya ufahamu juu ya huduma za kuhamishwa.
